t64_pre_topc conjecture
cc5_funct_2 axiom
dt_g1_pre_topc axiom
t113_zfmisc_1 axiom
fc6_pre_topc axiom
d4_partfun1 axiom
t14_relset_1 axiom
d10_xboole_0 axiom
fc11_relat_1 axiom
rc1_funct_2 axiom
t4_funct_2 axiom
fc1_xboole_0 axiom
cc1_funct_2 axiom
t5_subset axiom
d19_relat_1 axiom
t4_subset_1 axiom
t45_ordinal1 axiom
t34_mcart_1 axiom
l13_xboole_0 axiom
cc2_relset_1 axiom
t3_subset axiom
cc4_relset_1 axiom
t132_funct_2 axiom
cc1_relset_1 axiom
t2_xboole_1 axiom
t63_pre_topc axiom
t62_pre_topc axiom
dt_u1_pre_topc axiom
