t52_filter_1 conjecture
t49_lattices axiom
d11_filter_0 axiom
dt_u2_lattices axiom
commutativity_k3_lattices axiom
existence_m1_subset_1 axiom
dt_k4_binop_1 axiom
t51_lattices axiom
dt_k4_filter_0 axiom
dt_k4_lattices axiom
dt_k2_lattices axiom
t51_filter_1 axiom
dt_l3_lattices axiom
cc1_lattices axiom
dt_u1_lattices axiom
commutativity_k4_lattices axiom
t50_lattices axiom
t55_filter_0 axiom
redefinition_k4_binop_1 axiom
dt_k7_filter_0 axiom
dt_k7_lattices axiom
dt_k3_lattices axiom
dt_k1_lattices axiom
existence_l3_lattices axiom
