t76_funct_2 conjecture
t61_funct_1 axiom
t52_funct_1 axiom
t66_funct_1 axiom
t35_funct_2 axiom
t50_funct_1 axiom
rc2_subset_1 axiom
t4_subset_1 axiom
cc1_subset_1 axiom
t5_subset axiom
dt_k2_funct_1 axiom
t59_funct_1 axiom
t55_funct_1 axiom
redefinition_k2_relset_1 axiom
fc6_funct_1 axiom
redefinition_k1_partfun1 axiom
t65_funct_1 axiom
t38_relset_1 axiom
t44_funct_2 axiom
dt_k1_partfun1 axiom
redefinition_r2_relset_1 axiom
cc1_relset_1 axiom
dt_k6_partfun1 axiom
t54_relset_1 axiom
redefinition_k1_relset_1 axiom
t67_funct_2 axiom
