t10_zfmisc_1 conjecture
t92_xboole_1 axiom
t98_xboole_1 axiom
commutativity_k5_xboole_0 axiom
t96_xboole_1 axiom
t62_enumset1 axiom
t112_enumset1 axiom
t106_xboole_1 axiom
d7_enumset1 axiom
t113_enumset1 axiom
fc3_xboole_0 axiom
t70_enumset1 axiom
t127_enumset1 axiom
t4_xboole_0 axiom
t71_enumset1 axiom
t129_enumset1 axiom
t103_enumset1 axiom
commutativity_k3_xboole_0 axiom
t73_enumset1 axiom
t123_enumset1 axiom
idempotence_k3_xboole_0 axiom
t134_enumset1 axiom
t5_boole axiom
t100_xboole_1 axiom
t102_enumset1 axiom
t91_xboole_1 axiom
d1_xboole_0 axiom
t63_enumset1 axiom
t74_enumset1 axiom
t68_enumset1 axiom
t100_enumset1 axiom
d2_tarski axiom
t43_enumset1 axiom
t61_enumset1 axiom
t69_enumset1 axiom
t72_enumset1 axiom
t75_enumset1 axiom
t67_enumset1 axiom
d1_enumset1 axiom
t136_enumset1 axiom
