t30_yellow_0 conjecture
d10_lattice3 axiom
t113_zfmisc_1 axiom
d9_yellow_0 axiom
t4_subset axiom
d11_lattice3 axiom
t15_yellow_0 axiom
t9_yellow_0 axiom
t7_xboole_0 axiom
d9_lattice3 axiom
existence_l1_orders_2 axiom
t6_yellow_0 axiom
t4_subset_1 axiom
t22_yellow_0 axiom
existence_m1_subset_1 axiom
t2_tarski axiom
t1_subset axiom
cc3_funct_1 axiom
t24_yellow_0 axiom
d5_yellow_0 axiom
cc1_relset_1 axiom
t25_relset_1 axiom
d8_lattice3 axiom
t20_yellow_0 axiom
t17_yellow_0 axiom
t11_yellow_0 axiom
d12_lattice3 axiom
t26_orders_2 axiom
