t53_pre_topc conjecture
commutativity_k9_subset_1 axiom
d3_struct_0 axiom
d4_subset_1 axiom
d5_subset_1 axiom
d6_pre_topc axiom
dt_k2_pre_topc axiom
dt_k2_subset_1 axiom
dt_k3_subset_1 axiom
dt_l1_pre_topc axiom
involutiveness_k3_subset_1 axiom
l32_xboole_1 axiom
redefinition_k7_subset_1 axiom
redefinition_k9_subset_1 axiom
t16_subset_1 axiom
t18_pre_topc axiom
t22_subset_1 axiom
t2_xboole_1 axiom
t32_subset_1 axiom
t33_subset_1 axiom
t3_boole axiom
t43_subset_1 axiom
t48_pre_topc axiom
t48_xboole_1 axiom
t4_boole axiom
t4_subset_1 axiom
t4_xboole_0 axiom
t52_pre_topc axiom
