t75_funct_2 conjecture
dt_k1_partfun1 axiom
t71_relat_1 axiom
fc4_zfmisc_1 axiom
dt_k6_partfun1 axiom
t44_funct_1 axiom
redefinition_k6_partfun1 axiom
fc11_relat_1 axiom
fc1_xboole_0 axiom
t5_subset axiom
redefinition_k1_relset_1 axiom
l13_xboole_0 axiom
d1_funct_2 axiom
d1_xboole_0 axiom
redefinition_k2_relset_1 axiom
t8_boole axiom
redefinition_r2_relset_1 axiom
fc3_funct_1 axiom
fc9_relat_1 axiom
fc3_zfmisc_1 axiom
cc1_subset_1 axiom
t64_relat_1 axiom
cc1_relset_1 axiom
redefinition_k1_partfun1 axiom
