t75_funct_2 conjecture
dt_k1_partfun1 axiom
d3_tarski axiom
t44_funct_1 axiom
redefinition_k6_partfun1 axiom
d10_xboole_0 axiom
fc11_relat_1 axiom
d2_ordinal1 axiom
t5_subset axiom
fc1_xboole_0 axiom
redefinition_k1_relset_1 axiom
t3_subset axiom
cc3_ordinal1 axiom
d1_funct_2 axiom
redefinition_k2_relset_1 axiom
d8_xboole_0 axiom
redefinition_r2_relset_1 axiom
fc3_zfmisc_1 axiom
t64_relat_1 axiom
cc1_relset_1 axiom
t7_boole axiom
t21_ordinal1 axiom
redefinition_k1_partfun1 axiom
t28_relset_1 axiom
