t61_funct_2 conjecture
d2_xboole_0 axiom
t92_xboole_1 axiom
d1_ordinal1 axiom
d4_funct_1 axiom
t70_enumset1 axiom
redefinition_k1_relset_1 axiom
t65_zfmisc_1 axiom
t1_boole axiom
t71_enumset1 axiom
l13_xboole_0 axiom
t73_enumset1 axiom
t3_subset axiom
d1_funct_2 axiom
dt_k2_relset_1 axiom
t100_xboole_1 axiom
redefinition_k2_relset_1 axiom
t74_enumset1 axiom
t86_funct_1 axiom
t7_funct_2 axiom
d15_funct_1 axiom
rc2_subset_1 axiom
t19_zfmisc_1 axiom
cc1_relset_1 axiom
t69_enumset1 axiom
l51_zfmisc_1 axiom
t12_setfam_1 axiom
t72_enumset1 axiom
t75_enumset1 axiom
t125_relat_1 axiom
t14_ordinal1 axiom
