t32_subset_1 conjecture
d2_subset_1 axiom
d2_xboole_0 axiom
t112_xboole_1 axiom
t92_xboole_1 axiom
commutativity_k5_xboole_0 axiom
redefinition_k8_subset_1 axiom
dt_k2_subset_1 axiom
t22_subset_1 axiom
t116_xboole_1 axiom
redefinition_k7_subset_1 axiom
dt_k8_subset_1 axiom
commutativity_k9_subset_1 axiom
commutativity_k3_xboole_0 axiom
idempotence_k3_xboole_0 axiom
t5_boole axiom
t100_xboole_1 axiom
t91_xboole_1 axiom
d5_subset_1 axiom
redefinition_k9_subset_1 axiom
d3_subset_1 axiom
d4_subset_1 axiom
t2_boole axiom
t48_xboole_1 axiom
redefinition_k6_subset_1 axiom
t6_boole axiom
t28_xboole_1 axiom
d1_zfmisc_1 axiom
dt_k6_subset_1 axiom
involutiveness_k3_subset_1 axiom
t16_xboole_1 axiom
