t9_zfmisc_1 conjecture
t98_xboole_1 axiom
l57_enumset1 axiom
t70_enumset1 axiom
t71_enumset1 axiom
t103_enumset1 axiom
t104_enumset1 axiom
t73_enumset1 axiom
t134_enumset1 axiom
t100_xboole_1 axiom
t128_enumset1 axiom
t64_enumset1 axiom
d1_tarski axiom
t74_enumset1 axiom
t68_enumset1 axiom
t117_enumset1 axiom
t66_enumset1 axiom
t133_enumset1 axiom
t107_enumset1 axiom
t58_enumset1 axiom
t69_enumset1 axiom
t61_enumset1 axiom
t72_enumset1 axiom
t75_enumset1 axiom
t55_enumset1 axiom
t67_enumset1 axiom
d1_enumset1 axiom
