t48_setfam_1 conjecture
dt_k4_subset_1 axiom
dt_k3_subset_1 axiom
d3_tarski axiom
t28_subset_1 axiom
t10_setfam_1 axiom
t45_xboole_1 axiom
involutiveness_k7_setfam_1 axiom
dt_k2_subset_1 axiom
commutativity_k2_xboole_0 axiom
dt_k5_setfam_1 axiom
t15_xboole_1 axiom
t3_boole axiom
redefinition_k7_subset_1 axiom
redefinition_k4_subset_1 axiom
t4_subset_1 axiom
t1_boole axiom
t1_zfmisc_1 axiom
t46_setfam_1 axiom
t3_subset axiom
t47_setfam_1 axiom
d5_subset_1 axiom
t5_setfam_1 axiom
d1_tarski axiom
redefinition_k6_setfam_1 axiom
d4_subset_1 axiom
dt_k6_setfam_1 axiom
t2_boole axiom
t46_zfmisc_1 axiom
t33_subset_1 axiom
t20_zfmisc_1 axiom
redefinition_k5_setfam_1 axiom
t21_zfmisc_1 axiom
t2_xboole_1 axiom
t64_zfmisc_1 axiom
l51_zfmisc_1 axiom
t40_xboole_1 axiom
dt_k7_setfam_1 axiom
commutativity_k4_subset_1 axiom
t12_setfam_1 axiom
t4_boole axiom
t50_subset_1 axiom
involutiveness_k3_subset_1 axiom
