t137_enumset1 conjecture
t57_enumset1 axiom
t43_xboole_1 axiom
t36_xboole_1 axiom
t48_enumset1 axiom
t47_enumset1 axiom
t13_xboole_1 axiom
t45_xboole_1 axiom
t6_xboole_1 axiom
t4_xboole_1 axiom
d10_xboole_0 axiom
t98_enumset1 axiom
t44_enumset1 axiom
t12_xboole_1 axiom
t5_xboole_1 axiom
t9_xboole_1 axiom
t32_xboole_1 axiom
t49_enumset1 axiom
l53_enumset1 axiom
l57_enumset1 axiom
t70_enumset1 axiom
t113_xboole_1 axiom
t7_xboole_1 axiom
t51_enumset1 axiom
t83_enumset1 axiom
t107_enumset1 axiom
t99_enumset1 axiom
t100_enumset1 axiom
commutativity_k2_tarski axiom
t43_enumset1 axiom
t76_enumset1 axiom
t42_enumset1 axiom
t69_enumset1 axiom
t40_xboole_1 axiom
t8_xboole_1 axiom
t80_enumset1 axiom
t60_enumset1 axiom
t55_enumset1 axiom
t41_enumset1 axiom
t1_xboole_1 axiom
t136_enumset1 axiom
