t37_funct_2 conjecture
dt_k1_partfun1 axiom
t29_relset_1 axiom
t53_funct_1 axiom
rc3_subset_1 axiom
t71_relat_1 axiom
redefinition_k6_partfun1 axiom
t5_subset axiom
t70_enumset1 axiom
redefinition_k1_relset_1 axiom
t71_enumset1 axiom
l13_xboole_0 axiom
t1_zfmisc_1 axiom
t73_enumset1 axiom
t26_funct_2 axiom
t3_subset axiom
idempotence_k3_xboole_0 axiom
d1_funct_2 axiom
t65_relat_1 axiom
t74_enumset1 axiom
redefinition_r2_relset_1 axiom
fc3_funct_1 axiom
rc2_subset_1 axiom
t3_xboole_1 axiom
cc1_relset_1 axiom
t69_enumset1 axiom
t12_setfam_1 axiom
t72_enumset1 axiom
t75_enumset1 axiom
t43_funct_1 axiom
redefinition_k1_partfun1 axiom
t144_funct_1 axiom
