t36_tex_2 conjecture
t24_tex_2 axiom
t92_xboole_1 axiom
t1_tsep_1 axiom
dt_k1_tex_2 axiom
dt_m1_pre_topc axiom
redefinition_k6_domain_1 axiom
fc1_xboole_0 axiom
t5_subset axiom
t70_enumset1 axiom
t71_enumset1 axiom
l13_xboole_0 axiom
t73_enumset1 axiom
idempotence_k3_xboole_0 axiom
cc1_pre_topc axiom
t100_xboole_1 axiom
d4_tex_2 axiom
t74_enumset1 axiom
rc4_pre_topc axiom
t26_tex_2 axiom
t9_mcart_1 axiom
fc1_struct_0 axiom
fc2_struct_0 axiom
t20_zfmisc_1 axiom
t69_enumset1 axiom
t12_setfam_1 axiom
t72_enumset1 axiom
t75_enumset1 axiom
dt_l1_pre_topc axiom
