t72_zfmisc_1 conjecture
t55_zfmisc_1 axiom
t92_xboole_1 axiom
commutativity_k5_xboole_0 axiom
t6_xboole_1 axiom
t4_xboole_1 axiom
idempotence_k2_xboole_0 axiom
t70_enumset1 axiom
t71_enumset1 axiom
t73_enumset1 axiom
idempotence_k3_xboole_0 axiom
t5_boole axiom
t100_xboole_1 axiom
t91_xboole_1 axiom
t74_enumset1 axiom
t57_zfmisc_1 axiom
commutativity_k2_tarski axiom
l51_zfmisc_1 axiom
l97_xboole_1 axiom
t95_xboole_1 axiom
t72_enumset1 axiom
t75_enumset1 axiom
symmetry_r1_xboole_0 axiom
t88_xboole_1 axiom
