t72_zfmisc_1 conjecture
t49_zfmisc_1 axiom
t52_xboole_1 axiom
t49_xboole_1 axiom
d5_xboole_0 axiom
commutativity_k2_xboole_0 axiom
t46_xboole_1 axiom
t41_xboole_1 axiom
t7_xboole_0 axiom
t3_boole axiom
t32_xboole_1 axiom
t65_zfmisc_1 axiom
t1_boole axiom
commutativity_k3_xboole_0 axiom
idempotence_k3_xboole_0 axiom
t39_xboole_1 axiom
t55_xboole_1 axiom
d1_tarski axiom
t53_xboole_1 axiom
t47_xboole_1 axiom
t2_boole axiom
t48_xboole_1 axiom
t54_xboole_1 axiom
d3_xboole_0 axiom
t22_xboole_1 axiom
t51_xboole_1 axiom
t40_xboole_1 axiom
antisymmetry_r2_hidden axiom
l29_zfmisc_1 axiom
t4_boole axiom
t41_enumset1 axiom
