t72_zfmisc_1 conjecture
t92_xboole_1 axiom
commutativity_k5_xboole_0 axiom
t1_xboole_0 axiom
t6_xboole_1 axiom
t4_xboole_1 axiom
d4_xboole_0 axiom
idempotence_k2_xboole_0 axiom
t70_enumset1 axiom
t1_boole axiom
t71_enumset1 axiom
t73_enumset1 axiom
idempotence_k3_xboole_0 axiom
t39_xboole_1 axiom
t100_xboole_1 axiom
t91_xboole_1 axiom
t74_enumset1 axiom
t57_zfmisc_1 axiom
l49_zfmisc_1 axiom
t3_xboole_0 axiom
t66_xboole_1 axiom
commutativity_k2_tarski axiom
t95_xboole_1 axiom
l51_zfmisc_1 axiom
t61_enumset1 axiom
t69_enumset1 axiom
t72_enumset1 axiom
t75_enumset1 axiom
t125_enumset1 axiom
t67_enumset1 axiom
t88_xboole_1 axiom
t38_zfmisc_1 axiom
d1_enumset1 axiom
