t41_waybel_7 conjecture
cc2_lattice3 axiom
fc18_waybel_0 axiom
d3_waybel_3 axiom
dt_k4_waybel_0 axiom
existence_m1_subset_1 axiom
fraenkel_a_2_0_waybel_3 axiom
dt_k5_waybel_0 axiom
cc10_waybel_0 axiom
t4_subset axiom
redefinition_r3_orders_2 axiom
fc7_waybel_0 axiom
fc16_waybel_0 axiom
fc22_waybel_0 axiom
d2_waybel_3 axiom
dt_k12_waybel_0 axiom
dt_k3_subset_1 axiom
t2_subset axiom
t45_yellow_0 axiom
cc4_waybel_3 axiom
redefinition_r2_subset_1 axiom
t3_xboole_0 axiom
dt_k4_yellow_0 axiom
t22_waybel_4 axiom
fc11_waybel_0 axiom
t7_boole axiom
