t2_tex_2 conjecture
d2_subset_1 axiom
t31_xboole_1 axiom
t1_tex_2 axiom
d1_tex_2 axiom
d3_tarski axiom
d10_xboole_0 axiom
t5_subset axiom
rc2_realset1 axiom
t30_xboole_1 axiom
cc2_realset1 axiom
fc2_zfmisc_1 axiom
rc3_realset1 axiom
t3_subset axiom
t1_xboole_1 axiom
t29_xboole_1 axiom
d1_xboole_0 axiom
rc1_realset1 axiom
t8_boole axiom
cc5_funct_1 axiom
t28_xboole_1 axiom
rc2_subset_1 axiom
t7_ordinal1 axiom
rc1_relat_1 axiom
t20_xboole_1 axiom
rc1_xboole_0 axiom
t7_boole axiom
fc1_subset_1 axiom
rc2_xboole_0 axiom
t17_xboole_1 axiom
