formla,formula,score
d3_tarski,d5_xboole_0,0.0
d3_tarski,antisymmetry_r2_hidden,0.0
d3_tarski,d10_xboole_0,0.0
d3_tarski,t7_boole,0.0
d5_xboole_0,antisymmetry_r2_hidden,0.0
d5_xboole_0,t7_boole,0.0
dt_k1_xboole_0,dt_k4_xboole_0,0.0
t6_boole,t38_xboole_1,0.0
t6_boole,t7_boole,0.0
t8_boole,d10_xboole_0,0.0
t8_boole,t7_boole,0.0
antisymmetry_r2_hidden,t7_boole,0.0
t6_boole,t8_boole,2.0
t2_xboole_1,d10_xboole_0,3.0
t4_boole,t3_boole,4.0
t6_boole,dt_o_0_0_xboole_0,4.0
t8_boole,dt_o_0_0_xboole_0,4.0
dt_o_0_0_xboole_0,t7_boole,4.0
t38_xboole_1,d10_xboole_0,4.105379238439506
d3_tarski,t2_xboole_1,6.0
t4_boole,t6_boole,8.0
t4_boole,t38_xboole_1,8.0
t8_boole,t38_xboole_1,8.0
t8_boole,t3_boole,8.466832242503168
t38_xboole_1,t2_xboole_1,8.466832242503168
d3_tarski,t38_xboole_1,12.0
t4_boole,t8_boole,12.0
t6_boole,d10_xboole_0,12.0
t6_boole,t3_boole,12.316137715318517
t38_xboole_1,t3_boole,12.316137715318517
d10_xboole_0,t3_boole,12.700248363754751
d5_xboole_0,t8_boole,16.0
t4_boole,d10_xboole_0,18.0
d5_xboole_0,d10_xboole_0,24.0
d5_xboole_0,t3_boole,24.632275430637034
d5_xboole_0,t4_boole,32.0
d5_xboole_0,t6_boole,32.0
d5_xboole_0,t38_xboole_1,32.0
d3_tarski,t4_boole,inf
d3_tarski,dt_k1_xboole_0,inf
d3_tarski,t6_boole,inf
d3_tarski,t8_boole,inf
d3_tarski,dt_o_0_0_xboole_0,inf
d3_tarski,dt_k4_xboole_0,inf
d3_tarski,t3_boole,inf
d5_xboole_0,dt_k1_xboole_0,inf
d5_xboole_0,t2_xboole_1,inf
d5_xboole_0,dt_o_0_0_xboole_0,inf
d5_xboole_0,dt_k4_xboole_0,inf
t4_boole,dt_k1_xboole_0,inf
t4_boole,t2_xboole_1,inf
t4_boole,dt_o_0_0_xboole_0,inf
t4_boole,antisymmetry_r2_hidden,inf
t4_boole,dt_k4_xboole_0,inf
t4_boole,t7_boole,inf
dt_k1_xboole_0,t6_boole,inf
dt_k1_xboole_0,t8_boole,inf
dt_k1_xboole_0,t38_xboole_1,inf
dt_k1_xboole_0,t2_xboole_1,inf
dt_k1_xboole_0,dt_o_0_0_xboole_0,inf
dt_k1_xboole_0,antisymmetry_r2_hidden,inf
dt_k1_xboole_0,d10_xboole_0,inf
dt_k1_xboole_0,t3_boole,inf
dt_k1_xboole_0,t7_boole,inf
t6_boole,t2_xboole_1,inf
t6_boole,antisymmetry_r2_hidden,inf
t6_boole,dt_k4_xboole_0,inf
t8_boole,t2_xboole_1,inf
t8_boole,antisymmetry_r2_hidden,inf
t8_boole,dt_k4_xboole_0,inf
t38_xboole_1,dt_o_0_0_xboole_0,inf
t38_xboole_1,antisymmetry_r2_hidden,inf
t38_xboole_1,dt_k4_xboole_0,inf
t38_xboole_1,t7_boole,inf
t2_xboole_1,dt_o_0_0_xboole_0,inf
t2_xboole_1,antisymmetry_r2_hidden,inf
t2_xboole_1,dt_k4_xboole_0,inf
t2_xboole_1,t3_boole,inf
t2_xboole_1,t7_boole,inf
dt_o_0_0_xboole_0,antisymmetry_r2_hidden,inf
dt_o_0_0_xboole_0,dt_k4_xboole_0,inf
dt_o_0_0_xboole_0,d10_xboole_0,inf
dt_o_0_0_xboole_0,t3_boole,inf
antisymmetry_r2_hidden,dt_k4_xboole_0,inf
antisymmetry_r2_hidden,d10_xboole_0,inf
antisymmetry_r2_hidden,t3_boole,inf
dt_k4_xboole_0,d10_xboole_0,inf
dt_k4_xboole_0,t3_boole,inf
dt_k4_xboole_0,t7_boole,inf
d10_xboole_0,t7_boole,inf
t3_boole,t7_boole,inf
