t85_tops_1 conjecture
commutativity_k9_subset_1 axiom
d1_tops_1 axiom
d3_struct_0 axiom
d3_tops_1 axiom
d4_tops_1 axiom
d5_subset_1 axiom
dt_k3_subset_1 axiom
dt_k4_subset_1 axiom
dt_l1_pre_topc axiom
involutiveness_k3_subset_1 axiom
projectivity_k1_tops_1 axiom
redefinition_k4_subset_1 axiom
redefinition_k7_subset_1 axiom
t18_pre_topc axiom
t1_boole axiom
t27_tops_1 axiom
t29_tops_1 axiom
t2_xboole_1 axiom
t32_subset_1 axiom
t33_subset_1 axiom
t41_xboole_1 axiom
t43_subset_1 axiom
t4_subset_1 axiom
t65_xboole_1 axiom
t72_xboole_1 axiom
t81_tops_1 axiom
t84_tops_1 axiom
t88_xboole_1 axiom
