t23_pre_topc conjecture
l32_xboole_1 axiom
t49_zfmisc_1 axiom
cc2_relat_1 axiom
l3_subset_1 axiom
t62_relat_1 axiom
t46_xboole_1 axiom
fc12_struct_0 axiom
redefinition_k7_subset_1 axiom
t60_relat_1 axiom
t4_subset_1 axiom
t1_boole axiom
dt_k2_struct_0 axiom
t1_zfmisc_1 axiom
t22_pre_topc axiom
t3_subset axiom
t2_tarski axiom
existence_l1_struct_0 axiom
d3_struct_0 axiom
t39_zfmisc_1 axiom
t110_relat_1 axiom
t6_boole axiom
t18_funct_1 axiom
rc2_subset_1 axiom
cc1_subset_1 axiom
t64_relat_1 axiom
cc1_relset_1 axiom
t28_wellord2 axiom
t25_relset_1 axiom
