t25_subset_1 conjecture
d2_subset_1 axiom
t92_xboole_1 axiom
dt_k3_subset_1 axiom
commutativity_k5_xboole_0 axiom
t4_xboole_1 axiom
d10_xboole_0 axiom
idempotence_k2_xboole_0 axiom
redefinition_k4_subset_1 axiom
t70_enumset1 axiom
t71_enumset1 axiom
t73_enumset1 axiom
t5_boole axiom
t39_xboole_1 axiom
t100_xboole_1 axiom
t91_xboole_1 axiom
d5_subset_1 axiom
t74_enumset1 axiom
d4_subset_1 axiom
t14_xboole_1 axiom
commutativity_k2_tarski axiom
l51_zfmisc_1 axiom
d1_zfmisc_1 axiom
t40_xboole_1 axiom
t95_xboole_1 axiom
t72_enumset1 axiom
t75_enumset1 axiom
fc1_subset_1 axiom
