t108_zfmisc_1 conjecture
t38_xboole_1 axiom
t92_xboole_1 axiom
d3_tarski axiom
commutativity_k5_xboole_0 axiom
t1_xboole_0 axiom
t65_xboole_1 axiom
d10_xboole_0 axiom
l54_zfmisc_1 axiom
t7_xboole_0 axiom
d2_zfmisc_1 axiom
fc1_xboole_0 axiom
t70_enumset1 axiom
t71_enumset1 axiom
l13_xboole_0 axiom
t73_enumset1 axiom
t5_boole axiom
t100_xboole_1 axiom
t91_xboole_1 axiom
d1_xboole_0 axiom
t8_boole axiom
t74_enumset1 axiom
t69_xboole_1 axiom
t103_zfmisc_1 axiom
d4_tarski axiom
t3_xboole_0 axiom
t2_zfmisc_1 axiom
t2_xboole_1 axiom
l51_zfmisc_1 axiom
t95_xboole_1 axiom
t72_enumset1 axiom
t75_enumset1 axiom
t7_boole axiom
