t72_xboole_1 conjecture
t37_xboole_1 axiom
t52_xboole_1 axiom
t45_xboole_1 axiom
t42_xboole_1 axiom
d7_xboole_0 axiom
commutativity_k2_xboole_0 axiom
t4_xboole_1 axiom
t46_xboole_1 axiom
t3_boole axiom
idempotence_k2_xboole_0 axiom
t41_xboole_1 axiom
commutativity_k3_xboole_0 axiom
t55_xboole_1 axiom
t53_xboole_1 axiom
t47_xboole_1 axiom
t2_boole axiom
t48_xboole_1 axiom
t54_xboole_1 axiom
t28_xboole_1 axiom
t22_xboole_1 axiom
t51_xboole_1 axiom
t40_xboole_1 axiom
t4_boole axiom
symmetry_r1_xboole_0 axiom
