t50_funct_2 conjecture
cc2_relat_1 axiom
d3_tarski axiom
t65_xboole_1 axiom
d10_xboole_0 axiom
fc8_relat_1 axiom
fc6_relat_1 axiom
t152_relat_1 axiom
redefinition_k7_relset_1 axiom
t5_subset axiom
fc1_xboole_0 axiom
d19_relat_1 axiom
redefinition_k1_relset_1 axiom
l13_xboole_0 axiom
cc2_relset_1 axiom
t3_subset axiom
t148_relat_1 axiom
t209_relat_1 axiom
d1_funct_2 axiom
d1_xboole_0 axiom
fc10_relat_1 axiom
t69_xboole_1 axiom
t5_mcart_1 axiom
redefinition_k8_relset_1 axiom
t146_funct_1 axiom
d1_relat_1 axiom
t2_xboole_1 axiom
t7_boole axiom
