t8_tex_2 conjecture
rc1_realset1 axiom
rc4_subset_1 axiom
cc4_subset_1 axiom
redefinition_k6_domain_1 axiom
rc1_xboole_0 axiom
existence_m1_subset_1 axiom
cc1_subset_1 axiom
rc7_funct_1 axiom
cc3_funct_1 axiom
fc2_struct_0 axiom
fc2_xboole_0 axiom
cc1_funct_1 axiom
cc5_funct_1 axiom
cc2_relat_1 axiom
rc2_realset1 axiom
rc9_struct_0 axiom
rc3_realset1 axiom
rc2_subset_1 axiom
fc6_struct_0 axiom
rc1_relat_1 axiom
rc3_tex_2 axiom
cc8_funct_1 axiom
rc1_funct_1 axiom
rc1_subset_1 axiom
rc3_subset_1 axiom
dt_k6_domain_1 axiom
fc14_funct_1 axiom
rc2_tex_2 axiom
existence_l1_struct_0 axiom
rc2_xboole_0 axiom
rc10_struct_0 axiom
cc1_realset1 axiom
rc20_struct_0 axiom
rc4_struct_0 axiom
cc2_tex_2 axiom
fc7_struct_0 axiom
cc1_relat_1 axiom
cc10_funct_1 axiom
rc1_tex_2 axiom
cc4_tex_2 axiom
cc3_subset_1 axiom
cc9_funct_1 axiom
t8_boole axiom
