t207_relat_1 conjecture
t92_xboole_1 axiom
dt_k6_relat_1 axiom
t65_xboole_1 axiom
d7_xboole_0 axiom
t61_xboole_1 axiom
t60_relat_1 axiom
t70_enumset1 axiom
t71_enumset1 axiom
t73_enumset1 axiom
idempotence_k3_xboole_0 axiom
fc16_relat_1 axiom
t100_xboole_1 axiom
t65_relat_1 axiom
t74_enumset1 axiom
d8_xboole_0 axiom
t69_xboole_1 axiom
redefinition_k6_subset_1 axiom
t6_boole axiom
t20_zfmisc_1 axiom
commutativity_k2_tarski axiom
fc9_relat_1 axiom
t69_enumset1 axiom
t12_setfam_1 axiom
t72_enumset1 axiom
t75_enumset1 axiom
t81_relat_1 axiom
symmetry_r1_xboole_0 axiom
t100_relat_1 axiom
