t29_funct_2 conjecture
dt_k1_partfun1 axiom
fc13_relat_1 axiom
t71_relat_1 axiom
fc4_zfmisc_1 axiom
dt_k6_partfun1 axiom
redefinition_k6_partfun1 axiom
d10_xboole_0 axiom
t45_relat_1 axiom
fc1_xboole_0 axiom
d19_relat_1 axiom
fc7_relset_1 axiom
cc2_relset_1 axiom
t26_funct_2 axiom
t6_xboole_0 axiom
cc1_relat_1 axiom
d8_xboole_0 axiom
d3_funct_2 axiom
redefinition_r2_relset_1 axiom
cc1_funct_1 axiom
cc1_subset_1 axiom
t64_relat_1 axiom
cc1_relset_1 axiom
fc4_funct_1 axiom
cc2_funct_1 axiom
t7_boole axiom
redefinition_k1_partfun1 axiom
