t31_subset_1 conjecture
l32_xboole_1 axiom
t37_xboole_1 axiom
t49_xboole_1 axiom
dt_k3_subset_1 axiom
t111_xboole_1 axiom
commutativity_k2_xboole_0 axiom
t46_xboole_1 axiom
t9_xboole_1 axiom
t41_xboole_1 axiom
idempotence_k2_xboole_0 axiom
t1_boole axiom
t39_xboole_1 axiom
d5_subset_1 axiom
t55_xboole_1 axiom
t29_xboole_1 axiom
t53_xboole_1 axiom
t2_boole axiom
t48_xboole_1 axiom
t2_xboole_1 axiom
t51_xboole_1 axiom
t40_xboole_1 axiom
t4_boole axiom
t35_xboole_1 axiom
involutiveness_k3_subset_1 axiom
