t17_subset_1 conjecture
antisymmetry_r2_hidden axiom
commutativity_k2_xboole_0 axiom
commutativity_k3_xboole_0 axiom
d10_xboole_0 axiom
d1_tarski axiom
d1_xboole_0 axiom
d1_zfmisc_1 axiom
d2_subset_1 axiom
d2_tarski axiom
d3_tarski axiom
d5_xboole_0 axiom
existence_m1_subset_1 axiom
fc1_subset_1 axiom
l1_zfmisc_1 axiom
l38_zfmisc_1 axiom
l3_subset_1 axiom
redefinition_k7_subset_1 axiom
t12_xboole_1 axiom
t19_zfmisc_1 axiom
t1_zfmisc_1 axiom
t20_zfmisc_1 axiom
t28_xboole_1 axiom
t2_tarski axiom
t40_xboole_1 axiom
t47_xboole_1 axiom
t4_subset_1 axiom
t65_zfmisc_1 axiom
t68_zfmisc_1 axiom
t69_enumset1 axiom
t7_boole axiom
t7_tarski axiom
t7_xboole_0 axiom
t80_zfmisc_1 axiom
