t28_subset_1 conjecture
d2_subset_1 axiom
d2_xboole_0 axiom
t154_zfmisc_1 axiom
t113_zfmisc_1 axiom
commutativity_k5_xboole_0 axiom
l3_subset_1 axiom
dt_k2_subset_1 axiom
t12_xboole_1 axiom
redefinition_k4_subset_1 axiom
t4_subset_1 axiom
t70_enumset1 axiom
t71_enumset1 axiom
t73_enumset1 axiom
t5_boole axiom
existence_m1_subset_1 axiom
redefinition_k5_subset_1 axiom
d1_tarski axiom
t74_enumset1 axiom
d4_subset_1 axiom
t6_boole axiom
t7_subset_1 axiom
t69_enumset1 axiom
d1_zfmisc_1 axiom
l51_zfmisc_1 axiom
t72_enumset1 axiom
t75_enumset1 axiom
dt_k5_subset_1 axiom
