t39_tops_1 conjecture
d3_tarski axiom
d5_subset_1 axiom
d5_xboole_0 axiom
d7_xboole_0 axiom
dt_k2_pre_topc axiom
dt_k3_subset_1 axiom
dt_l1_pre_topc axiom
fc1_tops_1 axiom
fc2_struct_0 axiom
fc2_tops_1 axiom
fc3_tops_1 axiom
involutiveness_k3_subset_1 axiom
symmetry_r1_xboole_0 axiom
t1_boole axiom
t26_xboole_1 axiom
t2_subset axiom
t31_subset_1 axiom
t3_boole axiom
t3_subset axiom
t3_xboole_1 axiom
t48_pre_topc axiom
t49_pre_topc axiom
t4_subset axiom
t52_pre_topc axiom
t54_xboole_1 axiom
t79_xboole_1 axiom
