t29_tops_1 conjecture
d2_subset_1 axiom
dt_k3_subset_1 axiom
t10_subset_1 axiom
dt_k2_pre_topc axiom
t5_subset axiom
t4_subset_1 axiom
dt_k2_struct_0 axiom
t22_pre_topc axiom
t3_subset axiom
dt_k9_subset_1 axiom
t43_subset_1 axiom
d6_pre_topc axiom
t18_pre_topc axiom
t42_subset_1 axiom
idempotence_k9_subset_1 axiom
t1_subset axiom
t27_tops_1 axiom
t7_subset_1 axiom
t23_pre_topc axiom
rc2_subset_1 axiom
t2_subset axiom
dt_l1_pre_topc axiom
involutiveness_k3_subset_1 axiom
d5_pre_topc axiom
t25_pre_topc axiom
dt_u1_pre_topc axiom
