t88_funct_2 conjecture
cc2_funct_2 axiom
d2_subset_1 axiom
d3_tarski axiom
t61_funct_1 axiom
t71_relat_1 axiom
fc4_zfmisc_1 axiom
dt_k6_partfun1 axiom
t65_xboole_1 axiom
redefinition_k6_partfun1 axiom
fc11_relat_1 axiom
fc8_relat_1 axiom
d18_relat_1 axiom
redefinition_k7_relset_1 axiom
fc1_xboole_0 axiom
t5_subset axiom
l13_xboole_0 axiom
cc2_relset_1 axiom
t35_funct_2 axiom
t3_subset axiom
redefinition_k2_funct_2 axiom
t148_relat_1 axiom
t209_relat_1 axiom
d1_funct_2 axiom
dt_k2_funct_2 axiom
t6_xboole_0 axiom
d1_xboole_0 axiom
t8_boole axiom
d8_xboole_0 axiom
fc10_relat_1 axiom
d3_funct_2 axiom
t69_xboole_1 axiom
redefinition_r2_relset_1 axiom
fc3_funct_1 axiom
t39_relset_1 axiom
fc9_relat_1 axiom
fc3_zfmisc_1 axiom
cc1_subset_1 axiom
t64_relat_1 axiom
cc1_relset_1 axiom
t67_funct_1 axiom
t38_relset_1 axiom
t7_boole axiom
redefinition_k1_partfun1 axiom
t28_relset_1 axiom
