formla,formula,score
d7_xboole_0,t3_xboole_0,0.0
d7_xboole_0,t5_xboole_0,0.0
d7_xboole_0,symmetry_r1_xboole_0,0.0
d7_xboole_0,t4_xboole_0,0.0
d5_xboole_0,d1_xboole_0,0.0
d5_xboole_0,d3_tarski,0.0
d5_xboole_0,t3_xboole_0,0.0
d5_xboole_0,t7_boole,0.0
d5_xboole_0,antisymmetry_r2_hidden,0.0
d5_xboole_0,t6_xboole_0,0.0
rc1_xboole_0,l13_xboole_0,0.0
rc1_xboole_0,t8_boole,0.0
rc1_xboole_0,d1_xboole_0,0.0
rc1_xboole_0,t7_boole,0.0
rc1_xboole_0,rc2_xboole_0,0.0
rc1_xboole_0,t6_boole,0.0
dt_k1_xboole_0,dt_k3_xboole_0,0.0
dt_k1_xboole_0,dt_k4_xboole_0,0.0
dt_k1_xboole_0,dt_k5_xboole_0,0.0
dt_k1_xboole_0,dt_k2_xboole_0,0.0
l13_xboole_0,t7_xboole_0,0.0
l13_xboole_0,d1_xboole_0,0.0
l13_xboole_0,t7_boole,0.0
l13_xboole_0,rc2_xboole_0,0.0
l13_xboole_0,t3_xboole_1,0.0
l13_xboole_0,t6_boole,0.0
t8_boole,d1_xboole_0,0.0
t8_boole,t7_boole,0.0
t8_boole,rc2_xboole_0,0.0
t8_boole,d8_xboole_0,0.0
t8_boole,d10_xboole_0,0.0
t8_boole,t2_tarski,0.0
t14_xboole_1,d3_xboole_0,0.0
t14_xboole_1,d3_tarski,0.0
t14_xboole_1,t1_xboole_1,0.0
dt_k3_xboole_0,dt_k4_xboole_0,0.0
dt_k3_xboole_0,dt_k5_xboole_0,0.0
dt_k3_xboole_0,dt_k2_xboole_0,0.0
dt_k4_xboole_0,dt_k5_xboole_0,0.0
dt_k4_xboole_0,dt_k2_xboole_0,0.0
t7_xboole_0,t3_xboole_1,0.0
t7_xboole_0,t6_boole,0.0
d3_xboole_0,d1_xboole_0,0.0
d3_xboole_0,d3_tarski,0.0
d3_xboole_0,t3_xboole_0,0.0
d3_xboole_0,t7_boole,0.0
d3_xboole_0,antisymmetry_r2_hidden,0.0
d3_xboole_0,t6_xboole_0,0.0
d1_xboole_0,d3_tarski,0.0
d1_xboole_0,d4_xboole_0,0.0
d1_xboole_0,t3_xboole_0,0.0
d1_xboole_0,t7_boole,0.0
d1_xboole_0,antisymmetry_r2_hidden,0.0
d1_xboole_0,rc2_xboole_0,0.0
d1_xboole_0,t6_boole,0.0
d1_xboole_0,t2_xboole_0,0.0
d1_xboole_0,t6_xboole_0,0.0
d1_xboole_0,t2_tarski,0.0
d3_tarski,d4_xboole_0,0.0
d3_tarski,t3_xboole_0,0.0
d3_tarski,t7_boole,0.0
d3_tarski,antisymmetry_r2_hidden,0.0
d3_tarski,t12_xboole_1,0.0
d3_tarski,t1_xboole_1,0.0
d3_tarski,d8_xboole_0,0.0
d3_tarski,t2_xboole_0,0.0
d3_tarski,d10_xboole_0,0.0
d3_tarski,t6_xboole_0,0.0
d3_tarski,t2_tarski,0.0
d4_xboole_0,t3_xboole_0,0.0
d4_xboole_0,t7_boole,0.0
d4_xboole_0,antisymmetry_r2_hidden,0.0
d4_xboole_0,t6_xboole_0,0.0
t3_xboole_0,t7_boole,0.0
t3_xboole_0,antisymmetry_r2_hidden,0.0
t3_xboole_0,symmetry_r1_xboole_0,0.0
t3_xboole_0,t2_xboole_0,0.0
t3_xboole_0,t6_xboole_0,0.0
t3_xboole_0,t2_tarski,0.0
t7_boole,antisymmetry_r2_hidden,0.0
t7_boole,rc2_xboole_0,0.0
t7_boole,t6_boole,0.0
t7_boole,t2_xboole_0,0.0
t7_boole,t6_xboole_0,0.0
t7_boole,t2_tarski,0.0
t5_xboole_0,symmetry_r1_xboole_0,0.0
antisymmetry_r2_hidden,t2_xboole_0,0.0
antisymmetry_r2_hidden,t6_xboole_0,0.0
antisymmetry_r2_hidden,t2_tarski,0.0
rc2_xboole_0,t6_boole,0.0
t3_xboole_1,t6_boole,0.0
symmetry_r1_xboole_0,t4_xboole_0,0.0
antisymmetry_r2_xboole_0,d8_xboole_0,0.0
antisymmetry_r2_xboole_0,t6_xboole_0,0.0
t12_xboole_1,t1_xboole_1,0.0
t1_xboole_1,d8_xboole_0,0.0
t1_xboole_1,d10_xboole_0,0.0
d8_xboole_0,d10_xboole_0,0.0
d8_xboole_0,t6_xboole_0,0.0
d8_xboole_0,t2_tarski,0.0
t2_xboole_0,t6_xboole_0,0.0
d10_xboole_0,t2_tarski,0.0
t6_xboole_0,t2_tarski,0.0
dt_k5_xboole_0,dt_k2_xboole_0,0.0
t14_xboole_1,d10_xboole_0,0.2975206611570248
d5_xboole_0,t2_tarski,0.4897959183673469
d3_xboole_0,t2_tarski,0.4897959183673469
d4_xboole_0,t2_tarski,0.4897959183673469
t2_xboole_0,t2_tarski,0.4897959183673469
d5_xboole_0,d3_xboole_0,0.64
d5_xboole_0,d4_xboole_0,0.64
d5_xboole_0,t2_xboole_0,0.64
d3_xboole_0,d4_xboole_0,0.64
d3_xboole_0,t2_xboole_0,0.64
d4_xboole_0,t2_xboole_0,0.64
t8_xboole_1,t1_xboole_1,0.6666666666666666
antisymmetry_r2_hidden,t1_xboole_0,0.6666666666666666
t8_xboole_1,t14_xboole_1,0.8
d5_xboole_0,t1_xboole_0,0.8888888888888888
d3_xboole_0,t1_xboole_0,0.8888888888888888
d4_xboole_0,t1_xboole_0,0.8888888888888888
t5_xboole_0,antisymmetry_r2_hidden,0.8888888888888888
t1_xboole_0,t2_xboole_0,0.8888888888888888
t3_xboole_0,t5_xboole_0,0.9795918367346939
t8_xboole_1,t11_xboole_1,1.0
t8_xboole_1,d10_xboole_0,1.0
t15_xboole_1,t7_xboole_0,1.0
rc1_xboole_0,fc5_xboole_0,1.0
rc1_xboole_0,fc4_xboole_0,1.0
t14_xboole_1,d8_xboole_0,1.0
fc5_xboole_0,rc2_xboole_0,1.0
fc5_xboole_0,fc4_xboole_0,1.0
t11_xboole_1,t1_xboole_1,1.0
d3_tarski,t1_xboole_0,1.0
t3_xboole_0,t1_xboole_0,1.0
t18_xboole_1,t1_xboole_1,1.0
rc2_xboole_0,fc4_xboole_0,1.0
t1_xboole_0,t6_xboole_0,1.0
t1_xboole_0,t2_tarski,1.0
t1_xboole_1,t10_xboole_1,1.0
irreflexivity_r2_xboole_0,antisymmetry_r2_xboole_0,1.0986122886681098
t7_xboole_1,t10_xboole_1,1.1409370009790836
d5_xboole_0,t5_xboole_0,1.1851851851851851
d3_xboole_0,t5_xboole_0,1.1851851851851851
d4_xboole_0,t5_xboole_0,1.1851851851851851
t5_xboole_0,t2_xboole_0,1.1851851851851851
t14_xboole_1,t11_xboole_1,1.2
t14_xboole_1,t18_xboole_1,1.2
t14_xboole_1,t10_xboole_1,1.2
t8_xboole_1,t12_xboole_1,1.3333333333333333
t13_xboole_1,t1_xboole_1,1.3333333333333333
d1_xboole_0,t1_xboole_0,1.3333333333333333
d3_tarski,t5_xboole_0,1.3333333333333333
t7_boole,t1_xboole_0,1.3333333333333333
t5_xboole_0,t6_xboole_0,1.3333333333333333
t5_xboole_0,t2_tarski,1.3333333333333333
t12_xboole_1,d10_xboole_0,1.3333333333333333
t14_xboole_1,t12_xboole_1,1.4111387070838612
t11_xboole_1,d10_xboole_0,1.5
t18_xboole_1,d10_xboole_0,1.5
t10_xboole_1,d10_xboole_0,1.5
t8_xboole_1,t13_xboole_1,1.5555555555555556
t14_xboole_1,t13_xboole_1,1.6
t8_xboole_1,t18_xboole_1,1.6666666666666667
t8_xboole_1,t10_xboole_1,1.6666666666666667
t13_xboole_1,t11_xboole_1,1.6666666666666667
t13_xboole_1,t10_xboole_1,1.6666666666666667
d1_xboole_0,t5_xboole_0,1.7777777777777777
t7_boole,t5_xboole_0,1.7777777777777777
t5_xboole_0,t1_xboole_0,1.7777777777777777
t8_xboole_1,d3_tarski,2.0
t8_xboole_1,t9_xboole_1,2.0
t8_xboole_1,d8_xboole_0,2.0
t15_xboole_1,l13_xboole_0,2.0
t15_xboole_1,t3_xboole_1,2.0
t15_xboole_1,t6_boole,2.0
rc1_xboole_0,dt_o_0_0_xboole_0,2.0
rc1_xboole_0,fc1_xboole_0,2.0
l13_xboole_0,t8_boole,2.0
l13_xboole_0,fc5_xboole_0,2.0
l13_xboole_0,fc4_xboole_0,2.0
t8_boole,fc5_xboole_0,2.0
t8_boole,fc4_xboole_0,2.0
t8_boole,t6_boole,2.0
t2_xboole_1,t1_xboole_1,2.0
dt_o_0_0_xboole_0,rc2_xboole_0,2.0
fc5_xboole_0,d1_xboole_0,2.0
fc5_xboole_0,t7_boole,2.0
fc5_xboole_0,t6_boole,2.0
t13_xboole_1,d10_xboole_0,2.0
t11_xboole_1,t18_xboole_1,2.0
t11_xboole_1,t12_xboole_1,2.0
t11_xboole_1,t10_xboole_1,2.0
d1_xboole_0,fc4_xboole_0,2.0
t7_boole,fc4_xboole_0,2.0
t18_xboole_1,t12_xboole_1,2.0
t18_xboole_1,t10_xboole_1,2.0
rc2_xboole_0,fc1_xboole_0,2.0
t9_xboole_1,t1_xboole_1,2.0
fc4_xboole_0,t6_boole,2.0
t12_xboole_1,t10_xboole_1,2.0
t13_xboole_1,t9_xboole_1,2.0133016833582427
t11_xboole_1,t9_xboole_1,2.0298062108190402
t9_xboole_1,t10_xboole_1,2.0298062108190402
t7_xboole_1,t1_xboole_1,2.052689619219753
t13_xboole_1,t18_xboole_1,2.3333333333333335
t13_xboole_1,t7_xboole_1,2.38015399284384
t14_xboole_1,t2_xboole_1,2.4
t14_xboole_1,t9_xboole_1,2.4
t17_xboole_1,t1_xboole_1,2.4334773587754635
idempotence_k3_xboole_0,t2_boole,2.4334773587754635
t4_xboole_1,t5_xboole_1,2.567156090692624
t14_xboole_1,t7_xboole_1,2.5992820873581195
t8_xboole_1,t2_xboole_1,2.6666666666666665
t13_xboole_1,t12_xboole_1,2.6666666666666665
t3_xboole_0,t4_xboole_0,2.6666666666666665
t1_boole,idempotence_k2_xboole_0,2.6852191708626694
