t43_zfmisc_1 conjecture
t92_xboole_1 axiom
d3_tarski axiom
commutativity_k5_xboole_0 axiom
t62_enumset1 axiom
d7_xboole_0 axiom
l3_zfmisc_1 axiom
t44_enumset1 axiom
l27_zfmisc_1 axiom
t12_xboole_1 axiom
idempotence_k2_xboole_0 axiom
t70_enumset1 axiom
t71_enumset1 axiom
t73_enumset1 axiom
idempotence_k3_xboole_0 axiom
t91_xboole_1 axiom
t7_xboole_1 axiom
t74_enumset1 axiom
t3_xboole_0 axiom
t66_xboole_1 axiom
l51_zfmisc_1 axiom
t69_enumset1 axiom
t95_xboole_1 axiom
t72_enumset1 axiom
t75_enumset1 axiom
t38_zfmisc_1 axiom
