t15_subset_1 conjecture
antisymmetry_r2_hidden axiom
commutativity_k2_xboole_0 axiom
commutativity_k3_xboole_0 axiom
commutativity_k4_subset_1 axiom
d10_xboole_0 axiom
d1_tarski axiom
d1_xboole_0 axiom
d1_zfmisc_1 axiom
d2_subset_1 axiom
d2_tarski axiom
d3_tarski axiom
d3_xboole_0 axiom
d5_xboole_0 axiom
dt_k1_subset_1 axiom
existence_m1_subset_1 axiom
fc1_subset_1 axiom
idempotence_k2_xboole_0 axiom
idempotence_k3_xboole_0 axiom
idempotence_k4_subset_1 axiom
l130_zfmisc_1 axiom
l36_xboole_1 axiom
l38_zfmisc_1 axiom
l44_zfmisc_1 axiom
rc2_subset_1 axiom
redefinition_k4_subset_1 axiom
t10_subset_1 axiom
t111_xboole_1 axiom
t12_xboole_1 axiom
t14_zfmisc_1 axiom
t153_zfmisc_1 axiom
t19_zfmisc_1 axiom
t1_zfmisc_1 axiom
t20_zfmisc_1 axiom
t21_xboole_1 axiom
t22_xboole_1 axiom
t23_xboole_1 axiom
t23_zfmisc_1 axiom
t24_xboole_1 axiom
t25_xboole_1 axiom
t27_zfmisc_1 axiom
t2_tarski axiom
t30_zfmisc_1 axiom
t38_zfmisc_1 axiom
t39_xboole_1 axiom
t40_xboole_1 axiom
t41_xboole_1 axiom
t41_zfmisc_1 axiom
t47_xboole_1 axiom
t48_xboole_1 axiom
t49_xboole_1 axiom
t4_subset_1 axiom
t4_xboole_0 axiom
t4_xboole_1 axiom
t50_xboole_1 axiom
t51_xboole_1 axiom
t52_xboole_1 axiom
t59_zfmisc_1 axiom
t5_xboole_0 axiom
t68_zfmisc_1 axiom
t69_enumset1 axiom
t6_xboole_1 axiom
t72_zfmisc_1 axiom
t73_zfmisc_1 axiom
t7_boole axiom
t7_tarski axiom
t7_xboole_0 axiom
t80_zfmisc_1 axiom
t84_zfmisc_1 axiom
t9_zfmisc_1 axiom
