t55_setfam_1 conjecture
t55_subset_1 axiom
t92_xboole_1 axiom
involutiveness_k7_setfam_1 axiom
t4_subset axiom
t22_subset_1 axiom
t7_xboole_0 axiom
t70_enumset1 axiom
t4_subset_1 axiom
t71_enumset1 axiom
t1_zfmisc_1 axiom
t46_setfam_1 axiom
t73_enumset1 axiom
idempotence_k3_xboole_0 axiom
t51_setfam_1 axiom
t3_subset axiom
t100_xboole_1 axiom
d1_tarski axiom
t74_enumset1 axiom
d4_subset_1 axiom
d3_subset_1 axiom
d8_setfam_1 axiom
t39_zfmisc_1 axiom
t20_zfmisc_1 axiom
t1_subset axiom
t69_enumset1 axiom
d1_zfmisc_1 axiom
dt_k7_setfam_1 axiom
t12_setfam_1 axiom
t72_enumset1 axiom
t75_enumset1 axiom
t38_subset_1 axiom
involutiveness_k3_subset_1 axiom
t53_setfam_1 axiom
t63_subset_1 axiom
