t96_xboole_1 conjecture
l32_xboole_1 axiom
t31_xboole_1 axiom
t23_xboole_1 axiom
t92_xboole_1 axiom
t49_xboole_1 axiom
t36_xboole_1 axiom
commutativity_k5_xboole_0 axiom
t94_xboole_1 axiom
commutativity_k2_xboole_0 axiom
t85_xboole_1 axiom
t3_boole axiom
idempotence_k2_xboole_0 axiom
t41_xboole_1 axiom
fc1_xboole_0 axiom
t4_xboole_0 axiom
t5_boole axiom
t39_xboole_1 axiom
t91_xboole_1 axiom
t7_xboole_1 axiom
d1_xboole_0 axiom
t8_boole axiom
t79_xboole_1 axiom
t47_xboole_1 axiom
t2_boole axiom
l98_xboole_1 axiom
t48_xboole_1 axiom
t4_boole axiom
symmetry_r1_xboole_0 axiom
t83_xboole_1 axiom
t50_xboole_1 axiom
