t55_tops_2 conjecture
antisymmetry_r2_hidden axiom
cc1_relset_1 axiom
d12_pre_topc axiom
d3_struct_0 axiom
d5_subset_1 axiom
dt_k3_subset_1 axiom
dt_k6_subset_1 axiom
dt_k7_subset_1 axiom
dt_k8_relset_1 axiom
dt_l1_pre_topc axiom
existence_l1_pre_topc axiom
existence_l1_struct_0 axiom
existence_m1_subset_1 axiom
involutiveness_k3_subset_1 axiom
redefinition_k6_subset_1 axiom
redefinition_k7_subset_1 axiom
redefinition_k8_relset_1 axiom
t138_funct_1 axiom
t1_subset axiom
t29_tops_1 axiom
t2_subset axiom
t30_tops_1 axiom
t3_boole axiom
t3_subset axiom
t4_boole axiom
t4_subset axiom
t52_tops_2 axiom
t5_subset axiom
t6_boole axiom
t7_boole axiom
